screen_name,text,sentiment
erehhhyeagerdes,@insecuryoume gojek sini bro,netral
rivierawrrr,@menulisau aduh jd ngebayangin abang gojek naik binatang gt,netral
menulisau,@rivierawrrr di sana ada gojek ga,netral
menulisau,@rivierawrrr gojek dan gorok??,netral
mazeruney,@biukiehls @MyDamnStuffs Website jual beli dibawah naungan gojek kakk. Udah pasti amann🥰,netral
bertanyarl,"tanyarl my little happiness today hihi✨
ini diskonnya dapet dari gojek nya sendiri https://t.co/O4JWbDod6m",positif
bertanyarl,"Aku di tgr, ada bibi d tgr juga tp jarak tempuh 45mnt an di gojek 50rb an
Kesana ga ya ? Tanyarl",netral
bertanyarl,tanyarl lebih sering pake grab / gojek,netral
kooracle,tetangga gw kambingnya dianter pake gojek😭😭 https://t.co/Ls30rCcowx,netral
awholejimin,@seokjwini keren bgt gojek dah sampe ke korea,netral
after_day1,"@TimMarbun Konteks kedua indonesia memang bukan tempat terbaik buat peneliti seperti indra.
Konteks 1 kalau gk mau pulang, gk  akan ada gojek, ruangguru, dan lain lain :(.",negatif
reymeldaimel,"@jwitasken apaan aku pake masker naik gojek ditanya ""kuliah/kerja dimana kak?""☺️🙏",netral
kristhiankevin,"Baru inget ini Idul Adha, ga ada gojek pagi-pagi 😅",netral
indomiegaenak,"@agannyi @dpasaribu00 Yuhuu~ yang mau minum jamu bisa banget pesen di IG @official_jamuma atau di shopee nya https://t.co/zsLntYhXzf
Pengiriman Via Gojek/Grab/Lalamove sameday dan instant dari Cibubur yaa~",netral
Lana088574101,"Udhlah Nana diem di rumah aja,yg masak Lula,nganter cateringnya pake gojek aja kan amann,inget Na ada junior di dalem kamu #BHSIEps288",netral
twitttluv,Mau brangkat pkl tpi gojek lgi gabisaa:(,negatif
imsleepieaf,@jogmfs Cek di gojek aja kan bisa???,netral
Muchmuslim1,@gojekindonesia @NadimMakarem Tidak ada pendaftaran gojek driver buat marak oknum gojek buka lewatjalur suap memyuap!!!?! Pemerintahan apa ini??,negatif
Muchmuslim1,@gojekindonesia kenapa tifak ada pendftran gojek driver .membuat marak oknum mintain uang pendaftaran,negatif
Muchmuslim1,@gojekindonesia kapan pendaftaran di buka kembali sebagai driver gojek goride dan gocar???,negatif
Muchmuslim1,@gojekindonesia Saya sudah daftarkan ratusan warung untuk jadi gabung di mitra usaha gojek .tp saya daftar akun goride kok malah kena tipu org . Tega banget saya freeland aktipkan warung warung se banyumas purbalingga dan banjarneGAra .tolong lah buatkan akun goride untuk saya,negatif
Muchmuslim1,@gojekindonesia ini adalah oknum gojek indonesia yg minta uang sebaGAi uang pendaftaran jadi mitra go ride https://t.co/HDwFz7p9VI,negatif
Muchmuslim1,@gojekindonesia marak oknum gojek minta uang pendaftaran karena pendaftaran driver di tutup,negatif
espyroment,"🥺 Hehe, bye workout, hi mamang gojek https://t.co/OVqXiW8Bup",netral
thesonpost,"Beda gaya founder startup global sama lokal :

Jeff Bezos mundur dari CEO setelah amazon jadi big profitable tech
Begitu juga dengan Jack Ma.

Ahmad Zacky mundur dari CEO saat Bukalapak masih rugi.
Nadiem Makarim mundur dari CEO saat gojek masih
#IPO
#bukalapak
#BigTech",negatif
anggieprtw,"Makin tua makin mellow, liat video tiktok abang gojek yg jaga prokes pas positif sampe dia negatif padahal udah vaksin 2x bikin mewek. Dia gk nyalahin vaksin, malah bilang jadi cepet sembuhnya. Kan gua rimbaaaayy",positif
fiscxhil,gw semalem mimpi ke inazuma pake gojek,netral
unagiinuuu_,@bogorfess_ halodoc bisa dari apknya langsung atau dari gojek sama grab health,netral
bogorfess_,[bgr] gbisa pulang kerja hiks gaada gojek kalo pake grabcar asa aneh kalo sndiri😭😭😭😭,negatif
bogorfess_,[bgr] aplikasi yg buat sharing sma dokter teh apa yaa trus nanti teh dikasih resep obat trus dibeliin nya sma gojek/grab?,netral
Alejandro5173,"@VinoKocheng iyaa hahaha. pokoknya mau jd siska kohl, bukan siska prank gojek",netral
bonhappyeur,tidur apaan tadi kayak naik gojek dari rumah ke sekolah 15 menit doang,netral
Bucinkoriyah,"Story today
Jam 2pagi tdi lilikku gedor2 rumh kenapa? Papa masuk rumh sakit. Astaga kaget bgt mana masih pusing jga kan bgun tidur blm kumpul nyawanya. Trs ibu nelpon aku kudu ke rs. Tpi gk ada yg nganterin motornya dibawa kan. Trs bersyukur bgt pesen gojek 2 kli",netral
lvlyp2,"udh nunggu gojek 10 menit tbtb di cancel, lu gila ya bang",negatif
lvlyp2,yaallah udh pusing dpt gojek masnya mana bau bgt yaallah maaf tp beneran udh PUSINGGGG,negatif
KediriFess,Cah cara daftar jadi driver grab/gojek gmn ya? Ada yang tau?,netral
KediriFess,Cah enek sing ngerti bakulan oxymeter nang Kediri sing iso dikirim lewat gojek/grab? URGENT 🙏,netral
evawngelion,Kang angkat galon n elpiji sama gojek https://t.co/iKhDJtPc8q,netral
enditaKS,"lupa bgt kl hari ini lebaran, belum beli bahan masakan apa apa trs skrg bingung nnti nyokap bokap sarapan apa huf, semoga nnti di gojek ada makanan yang buka🥺🙏🏼",netral
lebah_madurasa,"@eclairedelange 7 lagi apaan???🤦🤦🤦🤦 Trus gimana? Aku pingin naik gojek ke rumahmu deh kak, trus intip laptop, trus aku pulang dg tenang. 😩😩😩",netral
herlinarina842,@UmarChelsea_75 X aja mau kirim qurbanan om pake gojek 🤭..met idul adha pa umar,netral
auroraaabcd,@kaniasaja79 Nanti kalo udah dipasang di grab gojek aku info yaa,netral
auroraaabcd,@bblackaddict Kalo ga salah nanti mau dipasang di grab gojek juga,netral
kaniasaja79,@auroraaabcd Masuk grab / gojek?,netral
stevanfun,kangen masa dimana tiap hari minggu bela belain jam 12 siang naik gojek/busway ke kokas buat ibadah di jpcc jam 2 siang,netral
GojekTomohon,"Makan tanpa masak ? #GoFood-in Aja Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,"Kirim orderan OL-shop lancar tanpa ribet ngantar, #GoSend solusinya. 
Download #Gojek dan mulai #HidupTanpa ##HidupTanpaBatas #GojekTomohon",netral
